slug,nome_completo,nome_exibicao,data_nascimento,iso_pais,iso_segunda_nacionalidade,altura_cm,peso_kg,pe_preferido,posicao_principal,origem
caio-furtado-freitas,Caio Furtado Freitas,Caio Freitas,2001-11-17,BRA,,189,89,ESQUERDO,MEC,REAL
henrique-peixoto-azevedo,Henrique Peixoto Azevedo,Henrique Azevedo,1991-01-11,BRA,,169,73,DIREITO,MEC,REAL
samuel-braga-azevedo,Samuel Braga Azevedo,Samuel Azevedo,2008-01-13,BRA,,172,76,DIREITO,MEA,REAL
henrique-azevedo-cavalcanti,Henrique Azevedo Cavalcanti,Henrique Cavalcanti,1998-05-27,BRA,,177,78,DIREITO,MEA,REAL
danilo-moraes-siqueira,Danilo Moraes Siqueira,Danilo Siqueira,1992-10-16,BRA,,189,87,DIREITO,PTA,REAL
vinicius-correia-rabelo,Vinícius Correia Rabelo,Vinícius Rabelo,2009-04-01,BRA,,170,68,DIREITO,PTA,REAL
anderson-siqueira-braga,Anderson Siqueira Braga,Anderson Braga,1992-03-13,BRA,,167,66,DIREITO,ATA,REAL
marcelo-nogueira-medeiros,Marcelo Nogueira Medeiros,Marcelo Medeiros,1998-10-19,BRA,,170,67,DIREITO,ATA,REAL
italo-rabelo-aragao,Ítalo Rabelo Aragão,Ítalo Aragão,1989-04-06,BRA,,189,87,DIREITO,GOL,REAL
felipe-rabelo-esteves,Felipe Rabelo Esteves,Felipe Esteves,2001-08-04,BRA,,186,90,DIREITO,GOL,REAL
otavio-magalhaes-medeiros,Otávio Magalhães Medeiros,Otávio Medeiros,2008-08-18,BRA,,184,85,DIREITO,GOL,REAL
leandro-rabelo-siqueira,Leandro Rabelo Siqueira,Leandro Siqueira,1993-02-06,BRA,,195,96,ESQUERDO,ZAG,REAL
douglas-pontes-pacheco,Douglas Pontes Pacheco,Douglas Pacheco,1993-04-05,BRA,,194,98,DIREITO,ZAG,REAL
alisson-guimaraes-nogueira,Alisson Guimarães Nogueira,Alisson Nogueira,1992-07-14,BRA,,186,85,DIREITO,ZAG,REAL
mateus-lacerda-freitas,Mateus Lacerda Freitas,Mateus Freitas,1996-09-05,BRA,,192,88,ESQUERDO,ZAG,REAL
eduardo-aragao-moraes,Eduardo Aragão Moraes,Eduardo Moraes,1989-07-16,BRA,,176,77,DIREITO,LTD,REAL
danilo-rezende-farias,Danilo Rezende Farias,Danilo Farias,1992-11-10,BRA,,166,68,ESQUERDO,LTD,REAL
alisson-rezende-fonseca,Alisson Rezende Fonseca,Alisson Fonseca,1997-01-16,BRA,,167,71,ESQUERDO,LTE,REAL
renan-macedo-pontes,Renan Macedo Pontes,Renan Pontes,1994-04-10,BRA,,174,77,ESQUERDO,LTE,REAL
italo-cavalcanti-fonseca,Ítalo Cavalcanti Fonseca,Ítalo Fonseca,2003-11-01,BRA,,169,65,DIREITO,VOL,REAL
henrique-pontes-valadares,Henrique Pontes Valadares,Henrique Valadares,1999-02-01,BRA,,168,65,DIREITO,VOL,REAL
kleber-siqueira-cunha,Kleber Siqueira Cunha,Kleber Cunha,2004-12-14,BRA,,173,77,DIREITO,VOL,REAL
thiago-azevedo-valadares,Thiago Azevedo Valadares,Thiago Valadares,2007-12-23,BRA,,188,89,DIREITO,MEC,REAL
rafael-azevedo-queiroz,Rafael Azevedo Queiroz,Rafael Queiroz,2004-10-27,BRA,,184,82,DIREITO,MEC,REAL
ricardo-lacerda-rezende,Ricardo Lacerda Rezende,Ricardo Rezende,2005-03-12,BRA,,185,89,ESQUERDO,MEA,REAL
wesley-andrade-leite,Wesley Andrade Leite,Wesley Leite,2007-07-20,BRA,,189,93,ESQUERDO,MEA,REAL
gabriel-rabelo-andrade,Gabriel Rabelo Andrade,Gabriel Andrade,1999-11-16,BRA,,169,66,DIREITO,PTA,REAL
otavio-vasconcelos-albuquerque,Otávio Vasconcelos Albuquerque,Otávio Albuquerque,2003-02-15,BRA,,188,86,DIREITO,PTA,REAL
marcelo-queiroz-braga,Marcelo Queiroz Braga,Marcelo Braga,1996-06-25,BRA,,173,73,ESQUERDO,ATA,REAL
ricardo-peixoto-leite,Ricardo Peixoto Leite,Ricardo Leite,1991-11-06,BRA,,185,89,ESQUERDO,ATA,REAL
anderson-moraes-dantas,Anderson Moraes Dantas,Anderson Dantas,1998-02-10,BRA,,186,83,DIREITO,GOL,REAL
renan-furtado-cardoso,Renan Furtado Cardoso,Renan Cardoso,1990-08-06,BRA,,196,100,DIREITO,GOL,REAL
leandro-pacheco-meireles,Leandro Pacheco Meireles,Leandro Meireles,1991-09-01,BRA,,190,94,DIREITO,GOL,REAL
diego-nogueira-moraes,Diego Nogueira Moraes,Diego Moraes,1992-04-12,BRA,,192,89,DIREITO,ZAG,REAL
rodrigo-peixoto-bezerra,Rodrigo Peixoto Bezerra,Rodrigo Bezerra,1989-01-18,BRA,,176,73,DIREITO,ZAG,REAL
bruno-azevedo-duarte,Bruno Azevedo Duarte,Bruno Duarte,1991-09-10,BRA,,187,88,DIREITO,ZAG,REAL
danilo-farias-ramalho,Danilo Farias Ramalho,Danilo Ramalho,1998-10-08,BRA,,182,80,DIREITO,ZAG,REAL
rodrigo-dantas-fonseca,Rodrigo Dantas Fonseca,Rodrigo Fonseca,1990-11-02,BRA,,187,90,ESQUERDO,LTD,REAL
kleber-andrade-azevedo,Kleber Andrade Azevedo,Kleber Azevedo,2005-04-10,BRA,,186,86,DIREITO,LTD,REAL
ricardo-meireles-queiroz,Ricardo Meireles Queiroz,Ricardo Queiroz,2006-07-28,BRA,,180,83,ESQUERDO,LTE,REAL
rafael-queiroz-ramalho,Rafael Queiroz Ramalho,Rafael Ramalho,1991-09-21,BRA,,195,98,ESQUERDO,LTE,REAL
rafael-medeiros-farias,Rafael Medeiros Farias,Rafael Farias,1994-06-23,BRA,,179,78,DIREITO,VOL,REAL
wallace-pontes-ramalho,Wallace Pontes Ramalho,Wallace Ramalho,2008-07-23,BRA,,189,87,DIREITO,VOL,REAL
patrick-bezerra-moraes,Patrick Bezerra Moraes,Patrick Moraes,2003-03-12,BRA,,181,77,ESQUERDO,VOL,REAL
gabriel-lacerda-macedo,Gabriel Lacerda Macedo,Gabriel Macedo,2000-10-19,BRA,,191,93,ESQUERDO,MEC,REAL
samuel-nogueira-peixoto,Samuel Nogueira Peixoto,Samuel Peixoto,2007-11-03,BRA,,190,87,ESQUERDO,MEC,REAL
vinicius-pontes-freitas,Vinícius Pontes Freitas,Vinícius Freitas,2008-04-03,BRA,,165,62,DIREITO,MEA,REAL
samuel-braga-cardoso,Samuel Braga Cardoso,Samuel Cardoso,2005-03-13,BRA,,185,82,DIREITO,MEA,REAL
yuri-xavier-pontes,Yuri Xavier Pontes,Yuri Pontes,2009-03-11,BRA,,172,76,DIREITO,PTA,REAL
renan-cavalcanti-rezende,Renan Cavalcanti Rezende,Renan Rezende,2006-03-12,BRA,,173,77,DIREITO,PTA,REAL
eduardo-fonseca-nogueira,Eduardo Fonseca Nogueira,Eduardo Nogueira,1993-02-09,BRA,,183,83,ESQUERDO,ATA,REAL
yuri-lacerda-marinho,Yuri Lacerda Marinho,Yuri Marinho,2004-04-13,BRA,,167,66,DIREITO,ATA,REAL
gustavo-macedo-rabelo,Gustavo Macedo Rabelo,Gustavo Rabelo,1989-07-06,BRA,,194,91,DIREITO,GOL,REAL
douglas-peixoto-fonseca,Douglas Peixoto Fonseca,Douglas Fonseca,2005-02-28,BRA,,190,92,DIREITO,GOL,REAL
nathan-pontes-albuquerque,Nathan Pontes Albuquerque,Nathan Albuquerque,2003-01-01,BRA,,193,97,DIREITO,GOL,REAL
lucas-andrade-cavalcanti,Lucas Andrade Cavalcanti,Lucas Cavalcanti,2009-01-13,BRA,,168,70,ESQUERDO,ZAG,REAL
renan-moraes-aragao,Renan Moraes Aragão,Renan Aragão,1997-06-18,BRA,,179,79,ESQUERDO,ZAG,REAL
ricardo-marinho-vasconcelos,Ricardo Marinho Vasconcelos,Ricardo Vasconcelos,1994-11-09,BRA,,191,89,DIREITO,ZAG,REAL
murilo-dantas-queiroz,Murilo Dantas Queiroz,Murilo Queiroz,2003-03-05,BRA,,194,97,DIREITO,ZAG,REAL
lucas-peixoto-nogueira,Lucas Peixoto Nogueira,Lucas Nogueira,2008-11-06,BRA,,184,85,DIREITO,LTD,REAL
mateus-vasconcelos-andrade,Mateus Vasconcelos Andrade,Mateus Andrade,1996-11-24,BRA,,186,86,ESQUERDO,LTD,REAL
vinicius-duarte-esteves,Vinícius Duarte Esteves,Vinícius Esteves,1994-08-28,BRA,,189,92,ESQUERDO,LTE,REAL
fabricio-andrade-pacheco,Fabrício Andrade Pacheco,Fabrício Pacheco,1992-03-18,BRA,,185,86,ESQUERDO,LTE,REAL
mateus-pontes-valadares,Mateus Pontes Valadares,Mateus Valadares,1988-12-04,BRA,,186,82,ESQUERDO,VOL,REAL
mateus-pacheco-meireles,Mateus Pacheco Meireles,Mateus Meireles,1991-02-09,BRA,,171,70,DIREITO,VOL,REAL
gabriel-magalhaes-albuquerque,Gabriel Magalhães Albuquerque,Gabriel Albuquerque,1996-10-19,BRA,,182,80,DIREITO,VOL,REAL
wallace-rabelo-xavier,Wallace Rabelo Xavier,Wallace Xavier,1991-03-21,BRA,,189,85,ESQUERDO,MEC,REAL
gustavo-macedo-aragao,Gustavo Macedo Aragão,Gustavo Aragão,1990-11-24,BRA,,190,94,DIREITO,MEC,REAL
caio-esteves-freitas,Caio Esteves Freitas,Caio Freitas,2006-05-22,BRA,,170,73,DIREITO,MEA,REAL
emerson-furtado-farias,Emerson Furtado Farias,Emerson Farias,1999-07-19,BRA,,178,78,ESQUERDO,MEA,REAL
leandro-lacerda-tavares,Leandro Lacerda Tavares,Leandro Tavares,2003-02-02,BRA,,166,62,DIREITO,PTA,REAL
rafael-correia-lacerda,Rafael Correia Lacerda,Rafael Lacerda,2001-11-08,BRA,,192,93,DIREITO,PTA,REAL
ricardo-duarte-albuquerque,Ricardo Duarte Albuquerque,Ricardo Albuquerque,1997-04-15,BRA,,193,93,ESQUERDO,ATA,REAL
marcelo-marinho-nogueira,Marcelo Marinho Nogueira,Marcelo Nogueira,2009-03-15,BRA,,190,91,DIREITO,ATA,REAL
alisson-vasconcelos-albuquerque,Alisson Vasconcelos Albuquerque,Alisson Albuquerque,1998-03-12,BRA,,186,90,DIREITO,GOL,REAL
emerson-queiroz-fonseca,Emerson Queiroz Fonseca,Emerson Fonseca,1989-06-19,BRA,,194,90,DIREITO,GOL,REAL
igor-macedo-xavier,Igor Macedo Xavier,Igor Xavier,1998-07-20,BRA,,197,94,DIREITO,GOL,REAL
rodrigo-furtado-cunha,Rodrigo Furtado Cunha,Rodrigo Cunha,1994-04-25,BRA,,189,88,ESQUERDO,ZAG,REAL
italo-albuquerque-ramalho,Ítalo Albuquerque Ramalho,Ítalo Ramalho,1988-07-23,BRA,,178,78,ESQUERDO,ZAG,REAL
anderson-lacerda-braga,Anderson Lacerda Braga,Anderson Braga,1993-09-11,BRA,,180,80,DIREITO,ZAG,REAL
danilo-medeiros-peixoto,Danilo Medeiros Peixoto,Danilo Peixoto,2006-08-22,BRA,,192,92,ESQUERDO,ZAG,REAL
bruno-valadares-siqueira,Bruno Valadares Siqueira,Bruno Siqueira,2001-10-21,BRA,,171,73,DIREITO,LTD,REAL
mateus-cunha-siqueira,Mateus Cunha Siqueira,Mateus Siqueira,1992-10-11,BRA,,180,80,DIREITO,LTD,REAL
thiago-sampaio-bezerra,Thiago Sampaio Bezerra,Thiago Bezerra,2002-10-23,BRA,,190,92,ESQUERDO,LTE,REAL
wesley-vasconcelos-azevedo,Wesley Vasconcelos Azevedo,Wesley Azevedo,1995-08-13,BRA,,170,74,ESQUERDO,LTE,REAL
nathan-xavier-furtado,Nathan Xavier Furtado,Nathan Furtado,2002-08-23,BRA,,178,77,DIREITO,VOL,REAL
renan-braga-rezende,Renan Braga Rezende,Renan Rezende,1997-02-03,BRA,,183,79,DIREITO,VOL,REAL
nathan-xavier-nogueira,Nathan Xavier Nogueira,Nathan Nogueira,1995-09-28,BRA,,193,92,DIREITO,VOL,REAL
emerson-bezerra-vasconcelos,Emerson Bezerra Vasconcelos,Emerson Vasconcelos,1995-08-20,BRA,,190,86,ESQUERDO,MEC,REAL
thiago-leite-correia,Thiago Leite Correia,Thiago Correia,1991-12-26,BRA,,185,85,DIREITO,MEC,REAL
kleber-lacerda-leite,Kleber Lacerda Leite,Kleber Leite,2006-03-22,BRA,,195,95,DIREITO,MEA,REAL
henrique-leite-medeiros,Henrique Leite Medeiros,Henrique Medeiros,2006-02-15,BRA,,187,90,DIREITO,MEA,REAL
marcelo-duarte-aragao,Marcelo Duarte Aragão,Marcelo Aragão,2008-07-16,BRA,,188,86,ESQUERDO,PTA,REAL
bruno-fonseca-marinho,Bruno Fonseca Marinho,Bruno Marinho,2007-06-01,BRA,,170,69,DIREITO,PTA,REAL
emerson-cardoso-aragao,Emerson Cardoso Aragão,Emerson Aragão,1997-11-02,BRA,,181,82,DIREITO,ATA,REAL
nathan-freitas-lacerda,Nathan Freitas Lacerda,Nathan Lacerda,1990-02-24,BRA,,193,97,DIREITO,ATA,REAL
eduardo-marinho-duarte,Eduardo Marinho Duarte,Eduardo Duarte,2009-07-15,BRA,,194,94,DIREITO,GOL,REAL
kleber-azevedo-sampaio,Kleber Azevedo Sampaio,Kleber Sampaio,1994-11-12,BRA,,187,84,DIREITO,GOL,REAL
adriano-tavares-siqueira,Adriano Tavares Siqueira,Adriano Siqueira,1990-03-23,BRA,,183,86,DIREITO,GOL,REAL
bruno-meireles-xavier,Bruno Meireles Xavier,Bruno Xavier,2003-06-28,BRA,,180,83,DIREITO,ZAG,REAL
fabricio-esteves-dantas,Fabrício Esteves Dantas,Fabrício Dantas,2004-05-04,BRA,,192,93,ESQUERDO,ZAG,REAL
thiago-xavier-macedo,Thiago Xavier Macedo,Thiago Macedo,2003-09-20,BRA,,180,79,ESQUERDO,ZAG,REAL
gustavo-guimaraes-siqueira,Gustavo Guimarães Siqueira,Gustavo Siqueira,1991-04-27,BRA,,184,82,DIREITO,ZAG,REAL
italo-aragao-pontes,Ítalo Aragão Pontes,Ítalo Pontes,1993-10-14,BRA,,182,83,ESQUERDO,LTD,REAL
gabriel-braga-lacerda,Gabriel Braga Lacerda,Gabriel Lacerda,2008-03-15,BRA,,188,87,DIREITO,LTD,REAL
bruno-farias-cardoso,Bruno Farias Cardoso,Bruno Cardoso,1990-06-10,BRA,,167,64,ESQUERDO,LTE,REAL
bruno-magalhaes-albuquerque,Bruno Magalhães Albuquerque,Bruno Albuquerque,2001-06-13,BRA,,175,77,ESQUERDO,LTE,REAL
henrique-marinho-andrade,Henrique Marinho Andrade,Henrique Andrade,1992-09-01,BRA,,190,87,DIREITO,VOL,REAL
emerson-vasconcelos-ramalho,Emerson Vasconcelos Ramalho,Emerson Ramalho,2002-10-18,BRA,,195,91,DIREITO,VOL,REAL
adriano-tavares-azevedo,Adriano Tavares Azevedo,Adriano Azevedo,2001-05-20,BRA,,187,89,DIREITO,VOL,REAL
ricardo-albuquerque-pacheco,Ricardo Albuquerque Pacheco,Ricardo Pacheco,1990-11-26,BRA,,186,87,ESQUERDO,MEC,REAL
anderson-dantas-duarte,Anderson Dantas Duarte,Anderson Duarte,1993-11-17,BRA,,181,85,DIREITO,MEC,REAL
felipe-rabelo-marinho,Felipe Rabelo Marinho,Felipe Marinho,2002-09-19,BRA,,165,65,DIREITO,MEA,REAL
murilo-esteves-meireles,Murilo Esteves Meireles,Murilo Meireles,2009-02-13,BRA,,183,81,DIREITO,MEA,REAL
italo-leite-marinho,Ítalo Leite Marinho,Ítalo Marinho,1996-04-19,BRA,,172,75,DIREITO,PTA,REAL
rodrigo-duarte-nogueira,Rodrigo Duarte Nogueira,Rodrigo Nogueira,1995-12-28,BRA,,167,64,DIREITO,PTA,REAL
henrique-dantas-ramalho,Henrique Dantas Ramalho,Henrique Ramalho,1992-09-16,BRA,,175,77,DIREITO,ATA,REAL
thiago-pacheco-esteves,Thiago Pacheco Esteves,Thiago Esteves,2004-10-15,BRA,,184,83,DIREITO,ATA,REAL
rafael-nogueira-meireles,Rafael Nogueira Meireles,Rafael Meireles,1990-08-10,BRA,,183,82,DIREITO,GOL,REAL
yuri-correia-valadares,Yuri Correia Valadares,Yuri Valadares,2003-03-28,BRA,,190,89,DIREITO,GOL,REAL
adriano-moraes-xavier,Adriano Moraes Xavier,Adriano Xavier,1991-11-20,BRA,,185,88,DIREITO,GOL,REAL
mateus-aragao-lacerda,Mateus Aragão Lacerda,Mateus Lacerda,2000-01-04,BRA,,179,82,DIREITO,ZAG,REAL
otavio-queiroz-braga,Otávio Queiroz Braga,Otávio Braga,1990-02-27,BRA,,189,87,DIREITO,ZAG,REAL
wallace-marinho-siqueira,Wallace Marinho Siqueira,Wallace Siqueira,2005-10-03,BRA,,169,66,DIREITO,ZAG,REAL
eduardo-esteves-dantas,Eduardo Esteves Dantas,Eduardo Dantas,1990-05-04,BRA,,167,64,DIREITO,ZAG,REAL
eduardo-macedo-duarte,Eduardo Macedo Duarte,Eduardo Duarte,1998-08-28,BRA,,179,80,DIREITO,LTD,REAL
fabricio-ramalho-nogueira,Fabrício Ramalho Nogueira,Fabrício Nogueira,2006-08-23,BRA,,181,79,DIREITO,LTD,REAL
yuri-ramalho-rabelo,Yuri Ramalho Rabelo,Yuri Rabelo,1992-02-12,BRA,,165,61,ESQUERDO,LTE,REAL
marcelo-correia-fonseca,Marcelo Correia Fonseca,Marcelo Fonseca,2001-06-20,BRA,,179,76,ESQUERDO,LTE,REAL
vinicius-valadares-duarte,Vinícius Valadares Duarte,Vinícius Duarte,1999-01-04,BRA,,176,78,DIREITO,VOL,REAL
adriano-pontes-siqueira,Adriano Pontes Siqueira,Adriano Siqueira,1997-05-17,BRA,,195,96,DIREITO,VOL,REAL
emerson-siqueira-ramalho,Emerson Siqueira Ramalho,Emerson Ramalho,1993-03-02,BRA,,190,90,DIREITO,VOL,REAL
fabricio-tavares-rezende,Fabrício Tavares Rezende,Fabrício Rezende,2008-03-19,BRA,,176,74,DIREITO,MEC,REAL
leandro-marinho-correia,Leandro Marinho Correia,Leandro Correia,2008-12-15,BRA,,168,66,DIREITO,MEC,REAL
adriano-siqueira-cavalcanti,Adriano Siqueira Cavalcanti,Adriano Cavalcanti,1993-02-27,BRA,,191,94,ESQUERDO,MEA,REAL
kleber-moraes-correia,Kleber Moraes Correia,Kleber Correia,2004-01-21,BRA,,171,69,ESQUERDO,MEA,REAL
eduardo-valadares-ramalho,Eduardo Valadares Ramalho,Eduardo Ramalho,1990-04-05,BRA,,181,82,ESQUERDO,PTA,REAL
rodrigo-pacheco-rabelo,Rodrigo Pacheco Rabelo,Rodrigo Rabelo,2005-10-24,BRA,,182,82,ESQUERDO,PTA,REAL
douglas-cunha-leite,Douglas Cunha Leite,Douglas Leite,1999-09-28,BRA,,168,70,DIREITO,ATA,REAL
fabricio-medeiros-rezende,Fabrício Medeiros Rezende,Fabrício Rezende,1990-02-24,BRA,,174,74,DIREITO,ATA,REAL
italo-tavares-andrade,Ítalo Tavares Andrade,Ítalo Andrade,1996-02-06,BRA,,193,92,DIREITO,GOL,REAL
gabriel-queiroz-esteves,Gabriel Queiroz Esteves,Gabriel Esteves,2002-12-26,BRA,,190,94,ESQUERDO,GOL,REAL
otavio-furtado-medeiros,Otávio Furtado Medeiros,Otávio Medeiros,2005-05-26,BRA,,193,97,ESQUERDO,GOL,REAL
gustavo-cavalcanti-braga,Gustavo Cavalcanti Braga,Gustavo Braga,1993-06-24,BRA,,168,71,ESQUERDO,ZAG,REAL
thiago-lacerda-azevedo,Thiago Lacerda Azevedo,Thiago Azevedo,2007-05-16,BRA,,190,91,DIREITO,ZAG,REAL
caio-valadares-queiroz,Caio Valadares Queiroz,Caio Queiroz,2004-01-23,BRA,,174,73,DIREITO,ZAG,REAL
ricardo-leite-guimaraes,Ricardo Leite Guimarães,Ricardo Guimarães,2000-08-05,BRA,,191,89,DIREITO,ZAG,REAL
lucas-guimaraes-medeiros,Lucas Guimarães Medeiros,Lucas Medeiros,1996-06-05,BRA,,191,89,DIREITO,LTD,REAL
anderson-guimaraes-moraes,Anderson Guimarães Moraes,Anderson Moraes,2006-04-12,BRA,,173,70,DIREITO,LTD,REAL
alisson-braga-vasconcelos,Alisson Braga Vasconcelos,Alisson Vasconcelos,1988-12-02,BRA,,167,64,ESQUERDO,LTE,REAL
rafael-medeiros-queiroz,Rafael Medeiros Queiroz,Rafael Queiroz,1995-08-10,BRA,,175,75,ESQUERDO,LTE,REAL
yuri-xavier-leite,Yuri Xavier Leite,Yuri Leite,1988-02-13,BRA,,195,97,DIREITO,VOL,REAL
ricardo-leite-rezende,Ricardo Leite Rezende,Ricardo Rezende,2006-11-14,BRA,,192,89,DIREITO,VOL,REAL
patrick-freitas-aragao,Patrick Freitas Aragão,Patrick Aragão,2001-08-13,BRA,,177,73,DIREITO,VOL,REAL
fabricio-guimaraes-andrade,Fabrício Guimarães Andrade,Fabrício Andrade,1995-08-24,BRA,,192,89,DIREITO,MEC,REAL
kleber-vasconcelos-cardoso,Kleber Vasconcelos Cardoso,Kleber Cardoso,2000-09-01,BRA,,165,62,DIREITO,MEC,REAL
samuel-ramalho-correia,Samuel Ramalho Correia,Samuel Correia,2003-07-22,BRA,,179,83,ESQUERDO,MEA,REAL
patrick-vasconcelos-azevedo,Patrick Vasconcelos Azevedo,Patrick Azevedo,1999-05-07,BRA,,190,94,ESQUERDO,MEA,REAL
rafael-fonseca-farias,Rafael Fonseca Farias,Rafael Farias,1994-02-01,BRA,,182,86,ESQUERDO,PTA,REAL
eduardo-ramalho-peixoto,Eduardo Ramalho Peixoto,Eduardo Peixoto,2009-12-12,BRA,,171,70,DIREITO,PTA,REAL
renan-tavares-moraes,Renan Tavares Moraes,Renan Moraes,1994-02-02,BRA,,185,85,DIREITO,ATA,REAL
samuel-xavier-cardoso,Samuel Xavier Cardoso,Samuel Cardoso,1992-04-05,BRA,,189,91,DIREITO,ATA,REAL
patrick-sampaio-meireles,Patrick Sampaio Meireles,Patrick Meireles,1988-12-18,BRA,,198,95,ESQUERDO,GOL,REAL
samuel-freitas-queiroz,Samuel Freitas Queiroz,Samuel Queiroz,1994-09-20,BRA,,183,87,DIREITO,GOL,REAL
thiago-vasconcelos-braga,Thiago Vasconcelos Braga,Thiago Braga,2007-08-16,BRA,,189,92,DIREITO,GOL,REAL
emerson-correia-valadares,Emerson Correia Valadares,Emerson Valadares,1998-08-19,BRA,,188,92,DIREITO,ZAG,REAL
douglas-rabelo-macedo,Douglas Rabelo Macedo,Douglas Macedo,2004-08-28,BRA,,165,68,DIREITO,ZAG,REAL
wallace-queiroz-marinho,Wallace Queiroz Marinho,Wallace Marinho,2004-05-27,BRA,,169,70,DIREITO,ZAG,REAL
diego-correia-magalhaes,Diego Correia Magalhães,Diego Magalhães,1990-05-24,BRA,,193,95,DIREITO,ZAG,REAL
lucas-macedo-cunha,Lucas Macedo Cunha,Lucas Cunha,2005-07-13,BRA,,188,86,DIREITO,LTD,REAL
samuel-bezerra-aragao,Samuel Bezerra Aragão,Samuel Aragão,1995-09-14,BRA,,167,66,DIREITO,LTD,REAL
ricardo-correia-pacheco,Ricardo Correia Pacheco,Ricardo Pacheco,2009-11-13,BRA,,169,72,ESQUERDO,LTE,REAL
henrique-andrade-moraes,Henrique Andrade Moraes,Henrique Moraes,1997-02-02,BRA,,182,80,ESQUERDO,LTE,REAL
vinicius-sampaio-valadares,Vinícius Sampaio Valadares,Vinícius Valadares,2008-05-14,BRA,,178,77,ESQUERDO,VOL,REAL
otavio-esteves-vasconcelos,Otávio Esteves Vasconcelos,Otávio Vasconcelos,1990-01-22,BRA,,194,92,DIREITO,VOL,REAL
bruno-fonseca-siqueira,Bruno Fonseca Siqueira,Bruno Siqueira,2001-09-01,BRA,,173,72,DIREITO,VOL,REAL
caio-freitas-pacheco,Caio Freitas Pacheco,Caio Pacheco,1999-06-04,BRA,,177,77,DIREITO,MEC,REAL
alisson-pacheco-marinho,Alisson Pacheco Marinho,Alisson Marinho,1996-04-11,BRA,,187,85,DIREITO,MEC,REAL
caio-correia-leite,Caio Correia Leite,Caio Leite,2008-05-02,BRA,,170,72,DIREITO,MEA,REAL
thiago-vasconcelos-pacheco,Thiago Vasconcelos Pacheco,Thiago Pacheco,1996-08-23,BRA,,180,78,DIREITO,MEA,REAL
leandro-medeiros-xavier,Leandro Medeiros Xavier,Leandro Xavier,2002-04-26,BRA,,193,90,DIREITO,PTA,REAL
bruno-furtado-cavalcanti,Bruno Furtado Cavalcanti,Bruno Cavalcanti,2001-08-22,BRA,,183,84,ESQUERDO,PTA,REAL
gabriel-siqueira-guimaraes,Gabriel Siqueira Guimarães,Gabriel Guimarães,2003-02-22,BRA,,191,89,DIREITO,ATA,REAL
alisson-andrade-tavares,Alisson Andrade Tavares,Alisson Tavares,1989-03-24,BRA,,180,81,ESQUERDO,ATA,REAL
wallace-esteves-fonseca,Wallace Esteves Fonseca,Wallace Fonseca,1990-04-13,BRA,,185,86,ESQUERDO,GOL,REAL
fabricio-duarte-correia,Fabrício Duarte Correia,Fabrício Correia,1990-11-05,BRA,,198,99,DIREITO,GOL,REAL
rafael-meireles-bezerra,Rafael Meireles Bezerra,Rafael Bezerra,1989-11-22,BRA,,194,93,DIREITO,GOL,REAL
anderson-esteves-leite,Anderson Esteves Leite,Anderson Leite,2006-07-13,BRA,,169,73,DIREITO,ZAG,REAL
mateus-freitas-aragao,Mateus Freitas Aragão,Mateus Aragão,2003-03-19,BRA,,193,91,DIREITO,ZAG,REAL
bruno-correia-tavares,Bruno Correia Tavares,Bruno Tavares,1994-12-15,BRA,,186,84,DIREITO,ZAG,REAL
